,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
384,pokrovsk,28,RU,1566701969,50,61.48,129.14,69.94,4.65
385,griffith,0,AU,1566701970,47,-34.29,146.06,57.99,12.75
386,moron,47,HT,1566701970,77,18.56,-74.26,81.28,3.15
387,henties bay,0,NA,1566701970,50,-22.12,14.28,66.0,3.0
388,san vicente,90,EC,1566701970,88,-0.59,-80.41,69.8,9.17
389,hay river,75,CA,1566701971,93,60.82,-115.79,51.8,8.05
390,saint-pierre,0,FR,1566701971,82,48.95,4.24,60.8,2.24
391,puerto baquerizo moreno,100,EC,1566701971,92,-0.9,-89.6,68.05,8.77
392,alihe,0,CN,1566701971,53,50.57,123.73,74.71,2.37
393,ponta do sol,0,BR,1566701972,65,-20.63,-46.0,58.28,5.73
394,batagay,92,RU,1566701972,58,67.65,134.64,62.94,5.3
395,kichmengskiy gorodok,100,RU,1566701972,96,59.99,45.81,51.83,8.48
396,nemuro,40,JP,1566701973,64,43.32,145.57,69.8,10.29
397,solnechnyy,100,RU,1566701973,60,50.72,136.64,67.37,3.33
398,powell river,75,CA,1566701973,82,49.84,-124.52,66.2,5.82
399,mahajanga,0,MG,1566701974,72,-15.72,46.32,66.2,4.7
400,saint-tite,1,CA,1566701974,93,46.73,-72.56,55.4,3.36
401,arari,53,BR,1566701974,96,-3.45,-44.78,72.08,4.88
402,huilong,14,CN,1566701974,47,31.15,106.5,91.47,4.14
403,namtsy,0,RU,1566701975,72,62.72,129.66,66.2,4.47
404,brownsville,1,US,1566701884,84,25.91,-97.49,86.0,9.17
405,taoudenni,70,ML,1566701975,40,22.68,-3.98,89.96,6.31
406,xinzhou,0,CN,1566701975,66,38.41,112.73,69.02,5.23
407,sechura,0,PE,1566701976,89,-5.56,-80.82,61.55,9.69
408,anloga,75,GH,1566701976,88,5.79,0.9,77.0,10.29
409,havre-saint-pierre,20,CA,1566701976,87,50.23,-63.6,51.8,6.93
410,eyl,0,SO,1566701976,65,7.98,49.82,76.19,29.57
411,palmares,73,BR,1566701976,98,-8.68,-35.59,64.25,5.01
412,poya,0,NC,1566701977,65,-21.35,165.16,67.65,16.84
413,shenkursk,100,RU,1566701977,96,62.11,42.91,48.81,11.18
414,dzerzhinsk,0,RU,1566701978,93,56.24,43.46,55.4,6.71
415,kenai,1,US,1566701978,34,60.55,-151.26,68.0,9.17
416,hendrina,0,ZA,1566701978,50,-26.16,29.72,46.99,4.16
417,foix,0,FR,1566701978,93,42.97,1.61,66.99,2.24
418,dayong,90,CN,1566701979,100,25.02,118.29,78.8,20.13
419,general pico,0,AR,1566701979,80,-35.66,-63.75,53.06,9.78
420,bull savanna,0,JM,1566701979,74,17.89,-77.59,83.06,4.27
421,palatka,100,RU,1566701979,82,60.1,150.94,49.53,8.37
422,maldonado,0,UY,1566701980,81,-34.91,-54.96,51.8,6.93
423,gat,20,SN,1566701980,83,14.69,-16.54,78.8,6.93
424,bayan,67,CN,1566701980,70,36.1,102.26,61.3,2.24
425,jiayuguan,56,CN,1566701980,25,39.77,98.29,74.1,2.08
426,komsomolskiy,24,RU,1566701981,83,67.55,63.78,40.17,7.36
427,japura,100,ID,1566701981,48,-0.42,102.29,87.81,5.21
428,namibe,67,AO,1566701981,82,-15.19,12.15,67.24,4.97
429,ati,100,TD,1566701981,84,13.21,18.34,75.97,8.9
430,svrljig,0,RS,1566701981,68,43.41,22.12,71.6,5.82
431,dubbo,0,AU,1566701982,15,-32.25,148.6,71.6,12.75
432,zhangjiakou,0,CN,1566701719,59,40.77,114.88,68.7,7.05
433,los llanos de aridane,0,ES,1566701982,88,28.66,-17.92,73.4,19.46
434,gobabis,0,NA,1566701982,26,-22.45,18.97,48.2,1.12
435,ginda,75,IN,1566701982,88,30.69,78.49,77.0,1.05
436,gamba,0,CN,1566701983,52,28.28,88.52,46.56,4.41
437,cotabato,93,PH,1566701827,75,7.2,124.24,80.81,7.2
438,alvik,99,SE,1566701983,100,60.75,14.87,57.2,1.12
439,montrose,92,GB,1566701984,100,56.71,-2.47,55.99,3.36
440,rapar,50,IN,1566701984,76,23.57,70.65,79.23,13.09
441,puertollano,0,ES,1566701984,45,38.69,-4.11,69.01,2.89
442,sao borja,0,BR,1566701984,92,-28.66,-56.0,57.07,10.8
443,iroquois falls,20,CA,1566701984,87,48.76,-80.69,50.0,2.24
444,katobu,0,ID,1566701985,38,-4.94,122.53,88.75,6.53
445,camapua,0,BR,1566701985,27,-19.53,-54.04,70.5,14.7
446,san roque,40,CO,1566701985,82,6.49,-75.02,60.8,4.7
447,byron bay,0,AU,1566701913,41,-28.65,153.62,79.0,6.93
448,abu dhabi,0,AE,1566701853,43,24.47,54.37,91.4,2.24
449,pitimbu,75,BR,1566701986,100,-7.47,-34.81,73.4,8.05
450,luwuk,97,ID,1566701986,83,-0.95,122.79,69.45,5.64
451,boca do acre,67,BR,1566701987,49,-8.76,-67.39,81.75,2.01
452,maragogi,33,BR,1566701987,96,-9.01,-35.22,68.9,2.3
453,altay,0,CN,1566701987,39,47.83,88.13,57.97,4.34
454,paka,100,CF,1566701987,99,4.15,15.03,65.26,2.06
455,chowchilla,1,US,1566701988,32,37.12,-120.26,98.6,11.41
456,miyako,75,JP,1566701988,68,33.63,130.94,77.0,13.87
457,molepolole,0,BW,1566701988,34,-24.41,25.52,51.8,5.82
458,nantucket,1,US,1566701988,82,41.28,-70.1,66.99,12.75
459,fuxin,0,CN,1566701989,63,42.02,121.65,79.03,8.3
460,yar-sale,100,RU,1566701989,72,66.83,70.83,46.25,19.01
461,chapais,1,CA,1566701989,82,49.78,-74.86,55.4,3.36
462,porec,100,HR,1566701990,77,45.23,13.59,70.0,9.17
463,kirakira,100,SB,1566701990,85,-10.46,161.92,79.32,3.71
464,chapada dos guimaraes,0,BR,1566701990,37,-15.46,-55.75,84.2,3.36
465,nong phai,78,TH,1566701990,85,16.0,101.06,81.32,7.16
466,high prairie,21,CA,1566701991,82,55.43,-116.48,55.79,6.51
467,richards bay,0,ZA,1566701991,52,-28.77,32.06,69.13,19.95
468,la ronge,75,CA,1566701991,93,55.1,-105.3,60.8,4.7
469,fort frances,1,CA,1566701992,63,48.61,-93.4,64.99,3.36
470,camacari,40,BR,1566701824,83,-12.7,-38.32,77.0,10.29
471,krabi,90,TH,1566701992,100,8.06,98.92,82.4,3.36
472,camacupa,98,AO,1566701992,42,-12.02,17.48,50.68,3.36
473,krasnoarmeysk,0,RU,1566701993,100,56.12,38.15,59.0,8.95
474,jalu,0,LY,1566701993,55,29.03,21.55,76.15,10.65
475,kamaishi,75,JP,1566701994,65,39.28,141.86,77.0,6.93
476,mbaiki,100,CF,1566701994,99,3.87,17.99,66.27,3.65
477,denpasar,40,ID,1566701808,74,-8.65,115.22,82.4,12.75
478,marystown,0,CA,1566701994,72,47.17,-55.16,48.86,9.44
479,irapuato,75,MX,1566701921,77,20.68,-101.35,68.0,8.05
480,jaciara,46,BR,1566701995,31,-15.95,-54.98,78.76,3.85
481,ribera,0,IT,1566701995,61,37.5,13.27,79.0,4.25
482,lahaina,40,US,1566701995,55,20.87,-156.68,89.6,18.34
483,warrnambool,20,AU,1566701996,46,-38.38,142.48,55.0,8.01
484,broome,55,GB,1566701996,93,52.47,1.45,62.6,1.12
485,fare,20,PF,1566701997,66,-16.7,-151.02,78.11,6.13
486,tautira,40,PF,1566701997,61,-17.73,-149.15,82.4,9.17
487,vermillion,90,US,1566701935,88,42.78,-96.93,69.8,5.82
488,noumea,20,NC,1566701997,47,-22.28,166.46,75.2,13.87
489,apatity,78,RU,1566701998,92,67.57,33.4,41.3,1.79
490,bud,100,NO,1566701998,93,62.91,6.91,62.6,4.7
491,dunedin,100,NZ,1566701998,56,-45.87,170.5,55.99,7.0
492,brae,100,GB,1566701998,93,60.4,-1.35,57.2,10.29
493,moranbah,2,AU,1566701999,36,-22.0,148.04,74.93,5.1
494,norfolk,90,US,1566701721,78,36.85,-76.29,73.99,10.29
495,pisco,90,PE,1566701999,82,-13.71,-76.2,60.8,10.29
496,sorland,100,NO,1566701999,95,67.67,12.69,53.72,25.19
497,sikasso,100,ML,1566702000,98,11.32,-5.68,68.39,7.0
498,gua musang,100,MY,1566702000,93,4.88,101.97,69.18,2.21
499,san jose,20,HN,1566701811,78,14.25,-87.96,77.0,12.75
500,muncar,63,ID,1566702000,60,-8.43,114.34,80.79,5.59
501,shimoda,20,JP,1566702001,74,34.7,138.93,86.0,9.17
502,bonavista,0,CA,1566702002,84,48.65,-53.11,46.99,4.0
503,doka,100,SD,1566702005,85,13.52,35.76,71.79,6.69
504,itaituba,67,BR,1566702007,73,-4.26,-55.99,74.82,2.48
505,cumana,0,VE,1566702008,85,10.46,-64.17,80.92,13.89
506,bonthe,100,SL,1566702008,90,7.53,-12.5,75.23,3.42
507,sinnamary,1,GF,1566702014,71,5.38,-52.96,82.38,7.05
508,yabrud,0,SY,1566702018,72,33.97,36.66,69.01,4.7
509,tzucacab,100,MX,1566702019,57,20.07,-89.05,84.68,4.92
510,port macquarie,0,AU,1566702019,27,-31.43,152.91,82.0,12.75
511,tessalit,76,ML,1566702019,47,20.2,1.01,87.31,13.96
512,smithers,90,CA,1566702019,72,54.78,-127.17,59.0,3.36
513,chara,0,GR,1566702020,68,39.42,22.43,79.0,2.42
514,tanete,0,ID,1566702020,62,-3.94,119.78,85.73,12.24
515,lubao,83,CD,1566702020,36,-5.39,25.75,75.47,2.01
516,gympie,1,AU,1566702021,52,-26.2,152.66,71.01,1.99
517,manta,0,RO,1566702021,54,45.1,24.1,67.83,4.61
